# SOURMASH-MANIFEST-VERSION: 1.0,,,,,,,,,,
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
DRR046817.sig,33672bbe14d335a038c13238fedf2273,33672bbe,21,DNA,0,1000,12508086,1,DRR046817,-
DRR046817.sig,80f32b284f04bacb166de651f81f6181,80f32b28,31,DNA,0,1000,13326779,1,DRR046817,-
DRR046817.sig,fc6abf8b1f07ba45ac4d52f04133782d,fc6abf8b,51,DNA,0,1000,11865356,1,DRR046817,-
DRR092732.sig,7475465f40bca3da95b2c1faedb79df4,7475465f,21,DNA,0,1000,1404566,1,DRR092732,-
DRR092732.sig,501d908a52721743d7adcb7b7ccf6a40,501d908a,31,DNA,0,1000,1501710,1,DRR092732,-
DRR092732.sig,084e238489b67e433b91505882df6932,084e2384,51,DNA,0,1000,1559303,1,DRR092732,-
DRR101455.sig,e0a9298a86e44705404825eaa93af62c,e0a9298a,21,DNA,0,1000,9193069,1,DRR101455,-
DRR101455.sig,3e4402a189232d038fe7541b372293d9,3e4402a1,31,DNA,0,1000,9703593,1,DRR101455,-
DRR101455.sig,56a544c39a68636838e2c8f00a103296,56a544c3,51,DNA,0,1000,8893122,1,DRR101455,-
DRR101456.sig,8d6019ac0e5134b2cf294358a7c3854b,8d6019ac,21,DNA,0,1000,8612256,1,DRR101456,-
DRR101456.sig,f248117034e022375f16facf976edaf7,f2481170,31,DNA,0,1000,9000791,1,DRR101456,-
DRR101456.sig,1b33d832fb3cab3796abf0456247bfa8,1b33d832,51,DNA,0,1000,8207028,1,DRR101456,-
DRR101459.sig,501f68785f85be59cf3d539029b63510,501f6878,21,DNA,0,1000,8731852,1,DRR101459,-
DRR101459.sig,1e11f2bcfd50c8c4af375475babb3ba8,1e11f2bc,31,DNA,0,1000,9038946,1,DRR101459,-
DRR101459.sig,40078191f84d77db8f02fb93b2a0b24b,40078191,51,DNA,0,1000,8096751,1,DRR101459,-